"FTR","GKPP","CKPP","STKPP","Form","Streak","WeightedStreak","GD","OverallDiff"
"D",-1.14960908315093,-1.00345392328572,-1.69801768014984,0.0139835445263437,-0.146223019797698,-0.175406279089955,-0.0242564623265586,-1.63813912013004
"H",0.833022475815216,1.95856765442324,2.00740060473633,0.662375913747853,0.485864962036729,0.41878843327439,0.14814199059852,1.04638696923192
"H",-1.34787223904754,0.773759023339653,0.349713477287257,-0.572071697704114,-1.19970298952174,-0.835622626161449,-0.369053368176717,0.0138769348619326
"H",1.03128563171183,1.36616333888145,2.88499967220938,0.429212135331152,0.69656095598154,1.07900478034588,0.27744083029233,1.45939098297991
"A",0.833022475815216,0.28008876038816,0.447224484784262,0.358805883972547,1.11795294387116,0.55083170268869,0.320540443523599,-0.605629085760058
"A",-1.54613539494416,-1.00345392328572,-2.28308372513187,-1.34799238760035,-1.62109497741136,-1.23175243440434,-0.584551434333065,-1.84464112700404
"H",1.42781194350506,-0.707251765514828,0.154691462293248,1.22357109125498,1.75004092570558,1.47513458858878,0.363640056754869,0.220378941735929
"A",-0.356556459564471,-0.608517712924529,-0.040330552700761,0.109379631316163,0.275168968091921,-0.109384644382805,-0.0673560755578283,0.633382955483923
"H",-1.14960908315093,0.0826206552075621,-0.625396597682788,-0.012492582813158,-0.989006995576934,-0.637557722039999,-0.282854141714177,-0.399127078886061
"H",1.42781194350506,1.16869523370085,1.90988959723933,1.85315415359353,1.75004092570558,1.34309131917448,0.837735802298836,1.8723949967279
"H",0.238233008125372,0.181354707797861,0.934779522269285,-0.0532798981071201,0.0644729741471116,0.220723529152942,0.105042377367251,-0.192625072012064
"H",0.238233008125372,0.181354707797861,0.447224484784262,-0.490922325519887,-0.146223019797698,0.154701894445793,-0.239754528482907,0.83988496235792
"H",1.82433825529829,0.0826206552075621,1.42233455975431,0.876190201420981,1.75004092570558,1.47513458858878,0.579138122911218,0.220378941735929
"H",-1.74439855084077,-0.707251765514828,-0.625396597682788,-1.30798509969026,-2.04248696530098,-1.82594714676869,-0.541451821101795,0.426880948609926
"D",-0.554819615461086,-0.114847449973035,-1.60050667265283,-0.204920255417475,-0.989006995576934,-0.7696009914543,-0.369053368176717,-0.192625072012064
"D",1.62607509940167,0.378822812978458,1.71486758224532,0.371625513404195,1.32864893781597,1.21104804976018,0.23434121706106,0.83988496235792
"A",0.833022475815216,0.971227128520251,0.83726851477228,0.23404756118757,-0.356919013742506,-0.439492817918553,0.0188431509047112,0.633382955483923
"A",-1.54613539494416,-2.08952850177901,-1.79552868764684,-1.97837615476427,-1.83179097135617,-1.82594714676869,-0.670750660795605,-2.87715116137402
"D",0.436496164021987,1.56363144406204,1.51984556725131,0.00753872670685786,-0.146223019797698,-0.241427913797104,0.14814199059852,0.83988496235792
"H",0.0399698522287576,-0.0161133973827366,0.349713477287257,-0.671048101695037,-0.146223019797698,-0.505514452625702,0.0188431509047112,-0.192625072012064
"A",-1.74439855084077,-0.805985818105126,-1.11295163516781,-0.255669995980324,-0.989006995576934,-1.0336875302829,-0.498352207870526,0.83988496235792
"A",0.634759319918601,-0.805985818105126,0.739757507275275,0.624511785804292,0.90725694992635,1.14502641505304,0.27744083029233,-0.192625072012064
"D",0.238233008125372,1.95856765442324,0.0571804547962436,-0.286307794466216,-0.356919013742506,-1.0336875302829,-0.0242564623265586,0.220378941735929
"A",-0.554819615461086,0.378822812978458,-0.332863575191775,-0.251293013296706,-0.989006995576934,-0.307449548504252,-0.153555302020368,-0.605629085760058
"A",0.634759319918601,-1.39839013364692,-0.23535256769477,0.421140476195677,0.90725694992635,0.682874972102988,0.492938896448678,-1.43163711325605
"A",-0.951345927254315,-0.707251765514828,-0.625396597682788,-0.272902894013432,0.485864962036729,0.946961510931586,-0.153555302020368,-1.63813912013004
"D",-0.951345927254315,-0.411049607743931,-0.722907605179793,-0.390087457137777,-0.989006995576934,-0.967665895575749,-0.412152981407986,-0.812131092634055
"H",-0.356556459564471,-0.904719870695425,-1.21046264266482,0.538486534323745,0.485864962036729,0.880939876224437,0.14814199059852,-0.192625072012064
"H",1.62607509940167,-0.707251765514828,1.3248235522573,1.27653596031639,1.9607369196504,2.13535093566028,0.708436962605027,0.83988496235792
"H",-0.554819615461086,-0.707251765514828,-0.527885590185784,-0.399492139206832,-0.356919013742506,0.088680259738643,-0.584551434333065,0.633382955483923
"D",1.03128563171183,1.06996118111055,0.934779522269285,0.717670462085314,1.11795294387116,0.748896606810137,0.708436962605027,0.633382955483923
"D",1.03128563171183,0.378822812978458,0.83726851477228,-0.532284854921025,-0.356919013742506,-0.637557722039999,0.622237736142488,0.83988496235792
"A",-1.34787223904754,-2.8794009225014,-1.50299566515583,-0.899670576293252,-0.356919013742506,0.154701894445793,-0.972447953414493,-1.63813912013004
"H",0.634759319918601,0.773759023339653,0.349713477287257,0.459783636160793,-0.146223019797698,-0.241427913797104,0.492938896448678,0.633382955483923
